₱ⓤ$$¥,0.15,Mumbai Indians,1.65,Sex Ba-Bomb,0.4,Dholakpur Dons,1.4,Whitefield Wankers,0.2
Ajinkya Rahane,8,Hardik Pandya,19,Shubman Gill,19.5,Rajat Patidar,8,Shreyas Iyer,17
Rohit Sharma,12,Ruturaj Gaikwad,14,Abhishek Sharma,19,Axar Patel,13,Rishabh Pant,8
Tilak Varma,10,Nitish Kumar Reddy,4,Yashasvi Jaiswal,17.5,Cameron Green,16.5,Ravindra Jadeja,6
Kagiso Rabada,4.5,Marcus Stoinis,3.5,Kuldeep Yadav,3.2,Rashid Khan,9.5,Sunil Narine,5.5
Varun Chakravarthy,3,Arshdeep Singh,8.5,Heinrich Klaasen,13.5,Suryakumar Yadav,13.5,Liam Livingstone,3
Dhruv Jurel,5,Yuzvendra Chahal,3.8,Venkatesh Iyer,4.2,Mohammed Siraj,5,Virat Kohli,20
KL Rahul,15.5,Suyash Sharma,1.2,Krunal Pandya,4.5,Jasprit Bumrah,9,Travis Head,19
Sanju Samson,25.5,Digvesh Singh Rathi,0.9,Harshal Patel,2.7,Sai Sudharsan,19,Trent Boult,6
Mangesh Yadav,2.2,Ishan Kishan,18.5,Mayank Yadav,2,Ravi Bishnoi,3.2,Rahul Chahar,2
Priyansh Arya,11.5,Prashant Veer,2.5,Mitchell Santner,2,Noor Ahmed,7,Jos Buttler,13
Devdutt Padikkal,7.5,Washington Sundar,4,Marco Jansen,2,Nicholas Pooran,19,Phil Salt,16.5
Nitish Rana,6.5,Prasidh Krishna,2,Aiden Markram,14,Shashank Singh,2.2,Shivam Dube,4.5
Finn Allen,14.5,Mohammed Shami,2,Riyan Parag,13,Shardul Thakur,2.2,Dewald Brevis,11
Ayush Mhatre,17,T Natarajan,2,Shahbaz Ahmed,0.5,Bhuvneshwar Kumar,2.5,Kartik Sharma,2
Ben Duckett,0.6,Mitchell Marsh,15.5,Angkrish Raghuvanshi,2.5,Will Jacks,5,MS Dhoni,2.5
Lungi Ngidi,0.3,Nehal Wadhera,2.2,Vaibhav Sooryavanshi,17,Tim David,2.1,Tristan Stubbs,8
Azmatullah Omarzai,0.5,Quinton De Kock,12.5,Donovan Ferreira,0.5,Jofra Archer,4.4,Khaleel Ahmed,1
Romario Sheperd,0.5,Jacob Bethell,4.9,Abhishek Porel,1.8,David Miller,1,Rasikh Salam Dar,1
Vaibhav Arora,0.5,Zeeshan Ansari,1.4,Mitchell Owen,4.2,Jitesh Sharma,2,Sai Kishore,2.5
Shimron Hetmyer,2,Pathum Nissanka,11,Rinku Singh,2,Mukesh Kumar,1,Matthew Breetzke,1.3
Akeal Husein,0.25,Prabhsimran Singh,10,Avesh Khan,2,Rachin Ravindra,0.5,,
Aquib Nabi,2,Jacob Duffy,2.5,Mitchell Starc,2,Kumar Kushagra,0.3,,
Tim Seifert,0.5,Matt Henry,1.7,,,Ryan Rickelton,2.2,,
,,Ayush Badoni,0.5,,,Naman Dhir,0.5,,
,,Blessing Murzabani,0.25,,,,,,
